period,index
2017.11.8,4.1726
2017.11.9,4.1803
2017.11.10,3.6295
2017.11.11,3.1044
2017.11.12,3.2331
2017.11.13,4.2052
2017.11.14,4.2024
2017.11.15,3.8268
2017.11.16,3.8069
2017.11.17,3.5279
2017.11.18,2.9518
2017.11.19,3.1568
2017.11.20,4.1334
2017.11.21,4.0778
2017.11.22,3.8981
2017.11.23,3.7044
2017.11.24,3.5798
2017.11.25,3.0439
2017.11.26,3.5198
2017.11.27,4.1045
2017.11.28,4.2787
2017.11.29,4.0516
2017.11.30,3.9582
2017.12.1,3.7505
2017.12.2,3.1514
2017.12.3,3.453
2017.12.4,4.6128
2017.12.5,4.4178
2017.12.6,4.1884
2017.12.7,4.1848
2017.12.8,3.9753
2017.12.9,3.3374
2017.12.10,3.7627
2017.12.11,4.6323
2017.12.12,4.5993
2017.12.13,4.393
2017.12.14,4.1695
2017.12.15,3.8566
2017.12.16,3.1943
2017.12.17,3.4895
2017.12.18,4.248
2017.12.19,4.3081
2017.12.20,4.2061
2017.12.21,3.7835
2017.12.22,3.2715
2017.12.23,3.0015
2017.12.24,2.9988
2017.12.25,3.1794
2017.12.26,4.2611
2017.12.27,4.1103
2017.12.28,3.8521
2017.12.29,3.3473
2017.12.30,3.1839
2017.12.31,2.9983
2018.1.1,3.1749
2018.1.2,4.3803
2018.1.3,4.4219
2018.1.4,4.2914
2018.1.5,3.9465
2018.1.6,3.5257
2018.1.7,3.5609
2018.1.8,4.5821
2018.1.9,4.532
2018.1.10,4.4648
2018.1.11,4.3799
2018.1.12,4.0656
2018.1.13,3.2904
2018.1.14,3.6733
2018.1.15,4.6214
2018.1.16,4.7433
2018.1.17,4.6007
2018.1.18,4.3803
2018.1.19,4.0006
2018.1.20,3.3771
2018.1.21,3.5451
2018.1.22,4.5374
2018.1.23,4.5122
2018.1.24,4.3645
2018.1.25,4.1451
2018.1.26,3.727
2018.1.27,3.3324
2018.1.28,3.5518
2018.1.29,4.3365
2018.1.30,4.3176
2018.1.31,4.2381
2018.2.1,4.3081
2018.2.2,3.9121
2018.2.3,3.69
2018.2.4,3.9013
2018.2.5,4.6124
2018.2.6,4.7871
2018.2.7,4.4029
2018.2.8,4.1474
2018.2.9,3.7519
2018.2.10,3.3035
2018.2.11,3.6728
2018.2.12,4.0485
2018.2.13,3.7686
2018.2.14,3.2381
2018.2.15,2.5622
2018.2.16,2.4809
2018.2.17,2.8701
2018.2.18,3.7455
2018.2.19,4.7135
2018.2.20,4.4648
2018.2.21,4.4106
2018.2.22,4.1623
2018.2.23,3.7248
2018.2.24,3.2155
2018.2.25,3.5983
2018.2.26,4.3699
2018.2.27,4.4815
2018.2.28,4.2657
2018.3.1,3.69
2018.3.2,3.9902
2018.3.3,3.6142
2018.3.4,4.1523
2018.3.5,4.556
2018.3.6,4.383
2018.3.7,4.3492
2018.3.8,4.4706
2018.3.9,3.876
2018.3.10,3.2755
2018.3.11,3.7699
2018.3.12,4.3004
2018.3.13,4.1207
2018.3.14,4.0006
2018.3.15,4.141
2018.3.16,3.7541
2018.3.17,3.1559
2018.3.18,3.6801
2018.3.19,4.3645
2018.3.20,4.2842
2018.3.21,4.3117
2018.3.22,3.8896
2018.3.23,3.4882
2018.3.24,3.2819
2018.3.25,3.4457
2018.3.26,4.1735
2018.3.27,3.9844
2018.3.28,3.9826
2018.3.29,3.7975
2018.3.30,3.3324
2018.3.31,2.8791
2018.4.1,3.192
2018.4.2,3.9279
2018.4.3,3.7735
2018.4.4,3.8805
2018.4.5,3.9501
2018.4.6,3.5776
2018.4.7,2.9812
2018.4.8,3.2159
2018.4.9,3.9853
2018.4.10,3.9465
2018.4.11,3.9532
2018.4.12,3.8164
2018.4.13,3.3807
2018.4.14,3.178
2018.4.15,3.3758
2018.4.16,4.0512
2018.4.17,3.89
2018.4.18,3.9311
2018.4.19,3.7067
2018.4.20,3.2408
2018.4.21,2.8164
2018.4.22,3.2629
2018.4.23,4.183
2018.4.24,4.0747
2018.4.25,3.7875
2018.4.26,3.5081
2018.4.27,2.8963
2018.4.28,2.68
2018.4.29,2.8263
2018.4.30,3.4218
2018.5.1,3.518
2018.5.2,3.8977
2018.5.3,3.6259
2018.5.4,3.3744
2018.5.5,2.6119
2018.5.6,2.9256
2018.5.7,3.3058
2018.5.8,3.7943
2018.5.9,3.7753
2018.5.10,3.6218
2018.5.11,3.4882
2018.5.12,3.1329
2018.5.13,3.2855
2018.5.14,3.9469
2018.5.15,3.7067
2018.5.16,3.8002
2018.5.17,3.6349
2018.5.18,3.2575
2018.5.19,2.6854
2018.5.20,2.7956
2018.5.21,3.3433
2018.5.22,3.0963
2018.5.23,3.6169
2018.5.24,3.5564
2018.5.25,3.2652
2018.5.26,2.7225
2018.5.27,2.9514
2018.5.28,3.7555
2018.5.29,3.7017
2018.5.30,3.5947
2018.5.31,3.4756
2018.6.1,3.4467
2018.6.2,2.9821
2018.6.3,3.1554
2018.6.4,3.8701
2018.6.5,3.4002
2018.6.6,3.1089
2018.6.7,3.6002
2018.6.8,3.3139
2018.6.9,2.8281
2018.6.10,3.1297
2018.6.11,3.7451
2018.6.12,3.4557
2018.6.13,2.9911
2018.6.14,3.5591
2018.6.15,3.1595
2018.6.16,2.6683
2018.6.17,2.8101
2018.6.18,3.3108
2018.6.19,3.4625
2018.6.20,3.2105
2018.6.21,3.197
2018.6.22,2.9198
2018.6.23,2.4723
2018.6.24,2.4845
2018.6.25,3.1315
2018.6.26,3.2196
2018.6.27,2.9455
2018.6.28,2.7554
2018.6.29,2.6985
2018.6.30,2.4173
2018.7.1,2.6624
2018.7.2,3.2272
2018.7.3,3.1545
2018.7.4,3.0602
2018.7.5,3.1107
2018.7.6,2.8597
2018.7.7,2.3744
2018.7.8,2.5784
2018.7.9,3.4367
2018.7.10,3.0999
2018.7.11,3.1979
2018.7.12,2.8909
2018.7.13,2.6168
2018.7.14,2.3148
2018.7.15,2.4927
2018.7.16,2.9356
2018.7.17,3.0051
2018.7.18,3.0186
2018.7.19,3.0105
2018.7.20,2.7821
2018.7.21,2.3893
2018.7.22,2.5455
2018.7.23,3.248
2018.7.24,3.0958
2018.7.25,3.0083
2018.7.26,2.9211
2018.7.27,2.6498
2018.7.28,2.1568
2018.7.29,2.3694
2018.7.30,2.9405
2018.7.31,2.8913
2018.8.1,2.9116
2018.8.2,2.7663
2018.8.3,2.5053
2018.8.4,2.2272
2018.8.5,2.3175
2018.8.6,3.2114
2018.8.7,3.243
2018.8.8,3.3193
2018.8.9,3.0453
2018.8.10,2.9469
2018.8.11,2.4263
2018.8.12,2.6565
2018.8.13,3.3564
2018.8.14,3.1171
2018.8.15,2.7875
2018.8.16,3.3807
2018.8.17,3.071
2018.8.18,2.6972
2018.8.19,2.8308
2018.8.20,3.2299
2018.8.21,3.3329
2018.8.22,3.3044
2018.8.23,3.1834
2018.8.24,3.0606
2018.8.25,2.5604
2018.8.26,2.8322
2018.8.27,3.346
2018.8.28,3.2615
2018.8.29,3.1825
2018.8.30,3.1238
2018.8.31,3.0629
2018.9.1,2.3933
2018.9.2,2.7794
2018.9.3,3.415
2018.9.4,3.3938
2018.9.5,3.439
2018.9.6,3.2787
2018.9.7,3.076
2018.9.8,2.4809
2018.9.9,2.7035
2018.9.10,3.3582
2018.9.11,3.4584
2018.9.12,3.2674
2018.9.13,3.2792
2018.9.14,2.9604
2018.9.15,2.8579
2018.9.16,2.9189
2018.9.17,3.3076
2018.9.18,3.1663
2018.9.19,2.9175
2018.9.20,2.7784
2018.9.21,2.5148
2018.9.22,2.0032
2018.9.23,1.9518
2018.9.24,1.7536
2018.9.25,1.9161
2018.9.26,2.587
2018.9.27,3.1907
2018.9.28,2.9785
2018.9.29,2.5798
2018.9.30,2.6602
2018.10.1,3.3437
2018.10.2,3.0245
2018.10.3,2.7319
2018.10.4,3.1139
2018.10.5,3.1455
2018.10.6,2.6692
2018.10.7,2.6051
2018.10.8,3.0602
2018.10.9,2.7387
2018.10.10,3.2317
2018.10.11,3.1893
2018.10.12,2.8209
2018.10.13,2.294
2018.10.14,2.6268
2018.10.15,3.2746
2018.10.16,3.3672
2018.10.17,3.2435
2018.10.18,3.2376
2018.10.19,2.8471
2018.10.20,2.3703
2018.10.21,2.6823
2018.10.22,3.3613
2018.10.23,3.3103
2018.10.24,3.1496
2018.10.25,2.969
2018.10.26,3.0186
2018.10.27,2.2895
2018.10.28,2.6037
