period,index
2017.11.8,9.4036
2017.11.9,9.395
2017.11.10,8.5024
2017.11.11,8.6848
2017.11.12,10.3968
2017.11.13,10.5815
2017.11.14,10.0989
2017.11.15,8.8361
2017.11.16,8.5588
2017.11.17,8.2613
2017.11.18,7.5981
2017.11.19,8.5065
2017.11.20,9.6668
2017.11.21,9.5255
2017.11.22,8.9101
2017.11.23,8.6618
2017.11.24,7.6473
2017.11.25,7.2902
2017.11.26,8.5864
2017.11.27,9.6131
2017.11.28,9.5598
2017.11.29,9.125
2017.11.30,8.5467
2017.12.1,7.9421
2017.12.2,7.4879
2017.12.3,9.3345
2017.12.4,9.818
2017.12.5,9.9255
2017.12.6,9.3182
2017.12.7,10.5774
2017.12.8,8.7715
2017.12.9,7.8997
2017.12.10,9.856
2017.12.11,10.1345
2017.12.12,9.4496
2017.12.13,9.3851
2017.12.14,9.0749
2017.12.15,7.5836
2017.12.16,7.4324
2017.12.17,9.0401
2017.12.18,9.6505
2017.12.19,8.7133
2017.12.20,8.4573
2017.12.21,7.7335
2017.12.22,7.1588
2017.12.23,6.7181
2017.12.24,7.5732
2017.12.25,8.3548
2017.12.26,9.2022
2017.12.27,8.6798
2017.12.28,8.6677
2017.12.29,7.0599
2017.12.30,7.1105
2017.12.31,7.1191
2018.1.1,8.7697
2018.1.2,10.3941
2018.1.3,10.5079
2018.1.4,9.488
2018.1.5,8.3656
2018.1.6,8.1286
2018.1.7,9.1887
2018.1.8,9.972
2018.1.9,9.4253
2018.1.10,9.4239
2018.1.11,9.3404
2018.1.12,8.3778
2018.1.13,8.0988
2018.1.14,9.2167
2018.1.15,9.5422
2018.1.16,9.8524
2018.1.17,9.4889
2018.1.18,9.1819
2018.1.19,8.1372
2018.1.20,8.0085
2018.1.21,9.5246
2018.1.22,10.1797
2018.1.23,10.8569
2018.1.24,9.6153
2018.1.25,9.8352
2018.1.26,8.5494
2018.1.27,8.3891
2018.1.28,10.0691
2018.1.29,10.1363
2018.1.30,10.5309
2018.1.31,9.7544
2018.2.1,9.8117
2018.2.2,8.8306
2018.2.3,8.8257
2018.2.4,12.6836
2018.2.5,12.9523
2018.2.6,11.7685
2018.2.7,11.0781
2018.2.8,10.1634
2018.2.9,9.0763
2018.2.10,8.9119
2018.2.11,11.3513
2018.2.12,12.1933
2018.2.13,8.516
2018.2.14,6.9376
2018.2.15,6.5493
2018.2.16,6.6712
2018.2.17,8.7774
2018.2.18,11.266
2018.2.19,12.0064
2018.2.20,15.6359
2018.2.21,10.3887
2018.2.22,10.0758
2018.2.23,8.9882
2018.2.24,8.4676
2018.2.25,9.8537
2018.2.26,10.3797
2018.2.27,9.9165
2018.2.28,11.0443
2018.3.1,11.6181
2018.3.2,9.4171
2018.3.3,8.8234
2018.3.4,11.1079
2018.3.5,10.4867
2018.3.6,10.0348
2018.3.7,10.1774
2018.3.8,10.3481
2018.3.9,8.5259
2018.3.10,7.7972
2018.3.11,10.4334
2018.3.12,10.4429
2018.3.13,9.777
2018.3.14,8.3349
2018.3.15,9.0514
2018.3.16,7.4857
2018.3.17,7.1777
2018.3.18,9.3796
2018.3.19,10.2704
2018.3.20,9.558
2018.3.21,9.595
2018.3.22,8.7096
2018.3.23,8.0771
2018.3.24,7.445
2018.3.25,9.7598
2018.3.26,9.5842
2018.3.27,8.7412
2018.3.28,8.1999
2018.3.29,8.0879
2018.3.30,6.7543
2018.3.31,6.1362
2018.4.1,8.0572
2018.4.2,8.2654
2018.4.3,8.1281
2018.4.4,8.3159
2018.4.5,8.3448
2018.4.6,8.013
2018.4.7,7.2468
2018.4.8,9.6189
2018.4.9,9.3995
2018.4.10,9.3282
2018.4.11,8.6744
2018.4.12,7.9927
2018.4.13,7.0202
2018.4.14,7.6888
2018.4.15,8.5227
2018.4.16,9.0306
2018.4.17,8.4248
2018.4.18,8.3624
2018.4.19,7.9385
2018.4.20,7.1236
2018.4.21,6.4287
2018.4.22,8.4415
2018.4.23,9.6384
2018.4.24,8.3029
2018.4.25,7.4775
2018.4.26,7.0269
2018.4.27,5.9307
2018.4.28,5.691
2018.4.29,6.491
2018.4.30,7.0396
