period,index
2017.11.8,5.5492
2017.11.9,5.6373
2017.11.10,4.7835
2017.11.11,4.8259
2017.11.12,6.3159
2017.11.13,6.7732
2017.11.14,6.0752
2017.11.15,5.9398
2017.11.16,6.4247
2017.11.17,5.7014
2017.11.18,5.0729
2017.11.19,6.5073
2017.11.20,7.2626
2017.11.21,7.2057
2017.11.22,6.3908
2017.11.23,6.4576
2017.11.24,5.3108
2017.11.25,4.8404
2017.11.26,5.5456
2017.11.27,5.7506
2017.11.28,5.3108
2017.11.29,5.5673
2017.11.30,5.4156
2017.12.1,4.9889
2017.12.2,4.6363
2017.12.3,6.5118
2017.12.4,5.984
2017.12.5,6.2535
2017.12.6,5.7303
2017.12.7,5.2571
2017.12.8,4.6327
2017.12.9,4.2444
2017.12.10,5.1907
2017.12.11,5.5826
2017.12.12,6.1985
2017.12.13,5.9226
2017.12.14,5.449
2017.12.15,4.6684
2017.12.16,4.1144
2017.12.17,5.0296
2017.12.18,5.165
2017.12.19,4.8494
2017.12.20,4.8007
2017.12.21,4.2584
2017.12.22,3.3834
2017.12.23,3.1938
2017.12.24,3.523
2017.12.25,3.9893
2017.12.26,4.1153
2017.12.27,4.4503
2017.12.28,4.034
2017.12.29,3.2141
2017.12.30,3.611
2017.12.31,3.4241
2018.1.1,3.6742
2018.1.2,4.1582
2018.1.3,4.3352
2018.1.4,4.0331
2018.1.5,3.5478
2018.1.6,4.0697
2018.1.7,4.3289
2018.1.8,4.3763
2018.1.9,4.3632
2018.1.10,4.1541
2018.1.11,4.2693
2018.1.12,4.0038
2018.1.13,3.5537
2018.1.14,4.1564
2018.1.15,4.8436
2018.1.16,4.6652
2018.1.17,4.0354
2018.1.18,3.816
2018.1.19,3.578
2018.1.20,3.4462
2018.1.21,4.1943
2018.1.22,4.2237
2018.1.23,4.3993
2018.1.24,4.3591
2018.1.25,4.4322
2018.1.26,3.9645
2018.1.27,3.7713
2018.1.28,4.4047
2018.1.29,4.4476
2018.1.30,4.2507
2018.1.31,4.0945
2018.2.1,4.2101
2018.2.2,3.7726
2018.2.3,4.0092
2018.2.4,4.7077
2018.2.5,4.4792
2018.2.6,4.9208
2018.2.7,4.2602
2018.2.8,4.0828
2018.2.9,3.4968
2018.2.10,4.2119
2018.2.11,4.8797
2018.2.12,3.8002
2018.2.13,3.3153
2018.2.14,3.066
2018.2.15,3.1112
2018.2.16,2.9008
2018.2.17,3.3929
2018.2.18,4.0065
2018.2.19,4.3108
2018.2.20,4.1763
2018.2.21,4.1171
2018.2.22,4.2806
2018.2.23,3.9171
2018.2.24,3.6859
2018.2.25,4.1754
2018.2.26,4.4151
2018.2.27,4.2684
2018.2.28,3.899
2018.3.1,4.1803
2018.3.2,3.9609
2018.3.3,4.0634
2018.3.4,5.1045
2018.3.5,4.3103
2018.3.6,4.3216
2018.3.7,4.2584
2018.3.8,4.1076
2018.3.9,3.4561
2018.3.10,3.5347
2018.3.11,4.3523
2018.3.12,4.2399
2018.3.13,4.3808
2018.3.14,4.6923
2018.3.15,4.6178
2018.3.16,3.5934
2018.3.17,3.8918
2018.3.18,4.5
2018.3.19,4.4648
2018.3.20,4.2896
2018.3.21,4.1627
2018.3.22,4.4065
2018.3.23,3.5645
2018.3.24,3.7184
2018.3.25,5.2476
2018.3.26,5.5104
2018.3.27,5.7601
2018.3.28,7.3434
2018.3.29,5.4368
2018.3.30,4.1555
2018.3.31,4.1672
2018.4.1,5.2467
2018.4.2,5.603
2018.4.3,6.2924
2018.4.4,5.5596
2018.4.5,4.9763
2018.4.6,3.9613
2018.4.7,3.7771
2018.4.8,4.4169
2018.4.9,4.9501
2018.4.10,4.8192
2018.4.11,4.8259
