period,index
2017.11.8,6.7407
2017.11.9,6.8915
2017.11.10,6.3854
2017.11.11,8.2437
2017.11.12,9.1923
2017.11.13,6.8265
2017.11.14,6.8179
2017.11.15,6.8287
2017.11.16,6.873
2017.11.17,6.2621
2017.11.18,8.1254
2017.11.19,8.9715
2017.11.20,6.5335
2017.11.21,6.2815
2017.11.22,6.4043
2017.11.23,6.5687
2017.11.24,6.0025
2017.11.25,8.0044
2017.11.26,8.5322
2017.11.27,6.5529
2017.11.28,6.2666
2017.11.29,5.9109
2017.11.30,6.105
2017.12.1,6.0012
2017.12.2,7.9055
2017.12.3,8.9783
2017.12.4,6.733
2017.12.5,6.4752
2017.12.6,6.5348
2017.12.7,6.6012
2017.12.8,6.4807
2017.12.9,8.5503
2017.12.10,8.8884
2017.12.11,6.7344
2017.12.12,6.5755
2017.12.13,6.5886
2017.12.14,6.3773
2017.12.15,5.9032
2017.12.16,7.9277
2017.12.17,8.9119
2017.12.18,6.7375
2017.12.19,7.0044
2017.12.20,6.5615
2017.12.21,6.7154
2017.12.22,6.3876
2017.12.23,8.7485
2017.12.24,9.1313
2017.12.25,9.2749
2017.12.26,6.3037
2017.12.27,6.1754
2017.12.28,5.9863
2017.12.29,6.6757
2017.12.30,7.9697
2017.12.31,7.9679
2018.1.1,8.3137
2018.1.2,7.2789
2018.1.3,7.0247
2018.1.4,6.9705
2018.1.5,6.7633
2018.1.6,7.5489
2018.1.7,8.0451
2018.1.8,7.3791
2018.1.9,7.4834
2018.1.10,7.5701
2018.1.11,7.8586
2018.1.12,7.4197
2018.1.13,7.8839
2018.1.14,8.8076
2018.1.15,8.6072
2018.1.16,8.4103
2018.1.17,7.8685
2018.1.18,7.8148
2018.1.19,7.3773
2018.1.20,8.2771
2018.1.21,9.2745
2018.1.22,8.9182
2018.1.23,8.9959
2018.1.24,8.6753
2018.1.25,8.5634
2018.1.26,7.7755
2018.1.27,8.9634
2018.1.28,9.5124
2018.1.29,8.7358
2018.1.30,8.5458
2018.1.31,8.3173
2018.2.1,8.0004
2018.2.2,7.8505
2018.2.3,10.2695
2018.2.4,10.7598
2018.2.5,8.3782
2018.2.6,8.2478
2018.2.7,7.8207
2018.2.8,8.2555
2018.2.9,7.8857
2018.2.10,9.4718
2018.2.11,10.8781
2018.2.12,8.8848
2018.2.13,9.0893
2018.2.14,9.3562
2018.2.15,10.3011
2018.2.16,11.5712
2018.2.17,13.2295
2018.2.18,13.746
2018.2.19,12.0448
2018.2.20,11.1242
2018.2.21,10.9504
2018.2.22,10.4795
2018.2.23,10.1427
2018.2.24,10.624
2018.2.25,11.4669
2018.2.26,10.9581
2018.2.27,10.3702
2018.2.28,9.6469
2018.3.1,10.1296
2018.3.2,7.3868
2018.3.3,10.7711
2018.3.4,12.7852
2018.3.5,8.2997
2018.3.6,7.361
2018.3.7,8.0667
2018.3.8,7.757
2018.3.9,7.5904
2018.3.10,10.5671
2018.3.11,12.2213
2018.3.12,7.8288
2018.3.13,8.0888
2018.3.14,7.2992
2018.3.15,8.0586
2018.3.16,7.8085
2018.3.17,10.6434
2018.3.18,12.4439
2018.3.19,8.176
2018.3.20,7.5258
2018.3.21,7.6292
2018.3.22,7.0893
2018.3.23,6.6752
2018.3.24,9.94
2018.3.25,11.3359
2018.3.26,8.4329
2018.3.27,7.6279
2018.3.28,7.3231
2018.3.29,6.9475
2018.3.30,6.6116
2018.3.31,9.4979
2018.4.1,10.9192
2018.4.2,7.0861
2018.4.3,6.7308
2018.4.4,7.361
2018.4.5,7.2351
2018.4.6,6.7998
2018.4.7,9.5711
2018.4.8,10.4637
2018.4.9,7.6902
2018.4.10,7.5398
2018.4.11,7.7069
2018.4.12,7.2911
2018.4.13,6.9213
2018.4.14,10.2059
2018.4.15,11.4384
2018.4.16,7.8798
2018.4.17,7.0716
2018.4.18,9.0961
2018.4.19,9.1503
2018.4.20,7.1339
2018.4.21,9.7869
2018.4.22,11.9346
2018.4.23,8.9417
2018.4.24,7.757
2018.4.25,7.6536
2018.4.26,7.6026
2018.4.27,7.0378
2018.4.28,10.0501
2018.4.29,11.4917
2018.4.30,8.4776
2018.5.1,10.0528
2018.5.2,10.2578
2018.5.3,9.511
2018.5.4,9.6352
2018.5.5,14.9456
2018.5.6,14.016
2018.5.7,12.0737
2018.5.8,8.3796
2018.5.9,7.5128
2018.5.10,7.0536
2018.5.11,6.5353
2018.5.12,9.6686
2018.5.13,9.1661
2018.5.14,6.6712
2018.5.15,6.4283
2018.5.16,5.7926
2018.5.17,5.2878
2018.5.18,5.2598
2018.5.19,7.0775
