period,index
2018.8.3,25.6811
2018.8.4,18.9711
2018.8.5,19.3652
2018.8.6,32.8774
2018.8.7,33.9695
2018.8.8,34.5835
2018.8.9,33.4937
2018.8.10,30.0971
2018.8.11,20.652
2018.8.12,20.7378
2018.8.13,33.5898
2018.8.14,32.9153
2018.8.15,25.1908
2018.8.16,35.7344
2018.8.17,32.7519
2018.8.18,23.3194
2018.8.19,21.7437
2018.8.20,35.6328
2018.8.21,36.9701
2018.8.22,35.9146
2018.8.23,35.5299
2018.8.24,34.854
2018.8.25,23.7063
2018.8.26,23.8092
2018.8.27,37.3981
2018.8.28,37.4225
2018.8.29,36.6563
2018.8.30,36.5828
2018.8.31,33.3406
2018.9.1,21.4832
2018.9.2,21.8191
2018.9.3,38.73
2018.9.4,39.0637
2018.9.5,38.3034
2018.9.6,38.1377
2018.9.7,34.5163
2018.9.8,22.3527
2018.9.9,22.7315
2018.9.10,39.0343
2018.9.11,37.7927
2018.9.12,38.1769
2018.9.13,37.2735
2018.9.14,33.7533
2018.9.15,22.4155
2018.9.16,22.1473
2018.9.17,36.2807
2018.9.18,34.3298
2018.9.19,32.146
2018.9.20,31.0719
2018.9.21,25.78
2018.9.22,16.1533
2018.9.23,13.8837
2018.9.24,12.6344
2018.9.25,15.714
2018.9.26,22.0972
2018.9.27,36.7633
2018.9.28,33.1289
2018.9.29,23.3325
2018.9.30,22.895
2018.10.1,36.329
2018.10.2,34.2553
2018.10.3,25.7556
2018.10.4,34.9903
2018.10.5,33.2598
2018.10.6,23.6503
2018.10.7,22.0683
2018.10.8,33.2372
2018.10.9,27.0875
2018.10.10,37.4004
2018.10.11,36.0965
2018.10.12,32.346
2018.10.13,21.7062
2018.10.14,23.1735
2018.10.15,38.2031
2018.10.16,38.093
2018.10.17,37.4713
2018.10.18,36.7814
2018.10.19,32.3713
2018.10.20,22.1279
2018.10.21,22.5189
2018.10.22,37.4478
2018.10.23,37.9602
2018.10.24,36.9489
2018.10.25,34.5547
2018.10.26,33.6864
2018.10.27,22.0015
2018.10.28,23.5379
2018.10.29,37.2731
2018.10.30,36.5471
2018.10.31,35.8279
2018.11.1,35.6342
2018.11.2,32.0448
2018.11.3,22.2439
2018.11.4,23.132
2018.11.5,37.2997
2018.11.6,38.3205
2018.11.7,38.3548
2018.11.8,39.019
2018.11.9,32.997
2018.11.10,22.6503
2018.11.11,24.2901
2018.11.12,37.7553
2018.11.13,38.2618
2018.11.14,36.7818
2018.11.15,35.4387
2018.11.16,32.7324
2018.11.17,21.796
2018.11.18,23.1248
2018.11.19,36.7399
2018.11.20,36.6879
2018.11.21,36.9539
2018.11.22,35.6572
2018.11.23,31.9098
2018.11.24,23.5347
2018.11.25,22.2295
2018.11.26,36.883
2018.11.27,36.3931
2018.11.28,36.1895
2018.11.29,34.8693
2018.11.30,31.0601
2018.12.1,22.3112
2018.12.2,22.8697
2018.12.3,36.8789
2018.12.4,37.609
2018.12.5,36.2026
2018.12.6,35.6892
2018.12.7,32.029
2018.12.8,21.9952
2018.12.9,22.6462
2018.12.10,34.7935
2018.12.11,36.3976
2018.12.12,35.3484
2018.12.13,34.7718
2018.12.14,30.9066
2018.12.15,21.2172
2018.12.16,22.0435
2018.12.17,34.1948
2018.12.18,34.6003
2018.12.19,33.7745
2018.12.20,32.2272
2018.12.21,29.1612
2018.12.22,20.3712
2018.12.23,20.8556
2018.12.24,26.6247
2018.12.25,21.7893
2018.12.26,31.6182
2018.12.27,29.1928
2018.12.28,27.2387
2018.12.29,20.5499
2018.12.30,19.8226
2018.12.31,21.9681
2019.1.1,20.0998
2019.1.2,32.4128
2019.1.3,32.6819
2019.1.4,31.3364
2019.1.5,22.9744
2019.1.6,22.7564
2019.1.7,34.4599
2019.1.8,34.854
2019.1.9,35.6283
2019.1.10,33.6156
2019.1.11,30.3405
2019.1.12,21.3224
2019.1.13,21.9238
2019.1.14,33.9727
2019.1.15,33.4038
2019.1.16,34.6048
2019.1.17,34.6666
2019.1.18,32.2281
2019.1.19,23.5185
2019.1.20,24.174
2019.1.21,35.9638
2019.1.22,36.3299
2019.1.23,36.4622
2019.1.24,34.8265
2019.1.25,31.3708
2019.1.26,23.086
2019.1.27,23.5921
2019.1.28,35.5877
2019.1.29,33.9474
2019.1.30,32.4051
2019.1.31,30.0312
2019.2.1,24.8052
2019.2.2,18.6695
2019.2.3,18.4803
2019.2.4,16.4211
2019.2.5,14.8969
2019.2.6,20.4014
2019.2.7,35.352
2019.2.8,33.8792
2019.2.9,25.6924
2019.2.10,25.0436
2019.2.11,37.0898
2019.2.12,36.7484
2019.2.13,36.9647
2019.2.14,35.2915
2019.2.15,32.7753
2019.2.16,23.863
2019.2.17,24.2946
2019.2.18,37.0171
2019.2.19,38.8817
2019.2.20,36.6139
2019.2.21,34.98
2019.2.22,32.616
2019.2.23,23.9158
2019.2.24,24.933
2019.2.25,36.3173
2019.2.26,36.185
2019.2.27,35.9678
2019.2.28,30.8249
2019.3.1,23.6322
2019.3.2,23.7433
2019.3.3,25.5791
2019.3.4,36.7146
2019.3.5,37.2785
2019.3.6,37.8605
2019.3.7,37.2013
2019.3.8,33.8725
2019.3.9,24.119
