period,index
2017.11.8,50.6939
2017.11.9,49.1544
2017.11.10,42.0317
2017.11.11,35.6318
2017.11.12,40.2203
2017.11.13,50.6863
2017.11.14,47.7552
2017.11.15,44.43
2017.11.16,44.9167
2017.11.17,37.3281
2017.11.18,31.2199
2017.11.19,40.3761
2017.11.20,46.4567
2017.11.21,44.3709
2017.11.22,42.9423
2017.11.23,39.6749
2017.11.24,33.1794
2017.11.25,30.3133
2017.11.26,34.8774
2017.11.27,42.638
2017.11.28,42.8638
2017.11.29,44.1126
2017.11.30,40.7716
2017.12.1,35.0679
2017.12.2,29.6162
2017.12.3,36.8856
2017.12.4,43.2471
2017.12.5,44.7645
2017.12.6,41.2827
2017.12.7,39.0799
2017.12.8,33.518
2017.12.9,27.7755
2017.12.10,34.4164
2017.12.11,40.5282
2017.12.12,39.9038
2017.12.13,38.9246
2017.12.14,35.5271
2017.12.15,29.8799
2017.12.16,25.7659
2017.12.17,31.6926
2017.12.18,36.5263
2017.12.19,35.5492
2017.12.20,33.3694
2017.12.21,30.1535
2017.12.22,24.4697
2017.12.23,22.1852
2017.12.24,23.5379
2017.12.25,28.6645
2017.12.26,36.0924
2017.12.27,34.7266
2017.12.28,32.3902
2017.12.29,26.9209
2017.12.30,24.2932
2017.12.31,24.1072
2018.1.1,31.0402
2018.1.2,39.6271
2018.1.3,39.8894
2018.1.4,37.4383
2018.1.5,33.8584
2018.1.6,29.7724
2018.1.7,37.3651
2018.1.8,41.7942
2018.1.9,40.5571
2018.1.10,38.246
2018.1.11,37.4197
2018.1.12,33.229
2018.1.13,29.8117
2018.1.14,35.2323
2018.1.15,41.5919
2018.1.16,41.9134
2018.1.17,39.9237
2018.1.18,37.3498
2018.1.19,32.3161
2018.1.20,28.7724
2018.1.21,34.9546
2018.1.22,41.9622
2018.1.23,41.5536
2018.1.24,40.8777
2018.1.25,38.674
2018.1.26,33.1067
2018.1.27,31.2168
2018.1.28,42.0407
2018.1.29,43.5505
2018.1.30,41.3734
2018.1.31,40.1851
2018.2.1,39.0979
2018.2.2,36.2147
2018.2.3,33.3884
2018.2.4,40.5395
2018.2.5,46.915
2018.2.6,44.9248
2018.2.7,42.2683
2018.2.8,39.0103
2018.2.9,32.3942
2018.2.10,28.7142
2018.2.11,33.7333
2018.2.12,34.0042
2018.2.13,29.4568
2018.2.14,23.9397
2018.2.15,20.2722
2018.2.16,20.3097
2018.2.17,28.2275
2018.2.18,38.5724
2018.2.19,45.3375
2018.2.20,44.1862
2018.2.21,43.4846
2018.2.22,42.829
2018.2.23,37.6685
2018.2.24,36.1479
2018.2.25,42.41
2018.2.26,49.9314
2018.2.27,49.3508
2018.2.28,45.6833
2018.3.1,47.2057
2018.3.2,44.3681
2018.3.3,40.1093
2018.3.4,48.1363
2018.3.5,52.8398
2018.3.6,49.8578
2018.3.7,47.6857
2018.3.8,46.8951
2018.3.9,36.6789
2018.3.10,31.6001
2018.3.11,37.8803
2018.3.12,46.2495
2018.3.13,42.6489
2018.3.14,40.2993
2018.3.15,41.6791
2018.3.16,34.4589
2018.3.17,30.8628
2018.3.18,38.6428
2018.3.19,44.2205
2018.3.20,43.2078
2018.3.21,43.2949
2018.3.22,40.8154
2018.3.23,35.2047
2018.3.24,32.694
2018.3.25,38.3539
2018.3.26,44.3424
2018.3.27,43.7975
2018.3.28,42.2854
2018.3.29,40.5115
2018.3.30,35.9343
2018.3.31,32.0123
