period,index
2017.11.8,19.6126
2017.11.9,18.9042
2017.11.10,18.311
2017.11.11,20.8881
2017.11.12,22.6155
2017.11.13,20.1675
2017.11.14,18.7629
2017.11.15,17.6956
2017.11.16,18.2527
2017.11.17,17.4997
2017.11.18,20.2492
2017.11.19,23.0186
2017.11.20,19.0871
2017.11.21,18.2487
2017.11.22,18.4252
2017.11.23,18.8952
2017.11.24,17.4726
2017.11.25,20.6912
2017.11.26,22.6493
2017.11.27,19.1476
2017.11.28,18.1913
2017.11.29,17.8929
2017.11.30,17.7123
2017.12.1,17.7782
2017.12.2,20.9305
2017.12.3,24.3419
2017.12.4,21.9486
2017.12.5,21.1436
2017.12.6,20.1142
2017.12.7,19.2817
2017.12.8,18.3101
2017.12.9,21.3436
2017.12.10,23.7451
2017.12.11,21.7364
2017.12.12,21.2962
2017.12.13,19.9485
2017.12.14,19.8022
2017.12.15,18.7539
2017.12.16,21.7685
2017.12.17,24.793
2017.12.18,23.0381
2017.12.19,21.819
2017.12.20,20.7359
2017.12.21,20.3928
2017.12.22,18.2428
2017.12.23,21.4163
2017.12.24,23.8792
2017.12.25,26.8315
2017.12.26,22.5969
2017.12.27,19.8077
2017.12.28,19.0194
2017.12.29,18.3697
2017.12.30,21.363
2017.12.31,21.163
2018.1.1,23.1184
2018.1.2,21.7193
2018.1.3,21.0678
2018.1.4,20.1345
2018.1.5,19.2225
2018.1.6,20.7418
2018.1.7,22.3987
2018.1.8,21.9996
2018.1.9,21.084
2018.1.10,20.6601
2018.1.11,20.3237
2018.1.12,19.1358
2018.1.13,20.7779
2018.1.14,23.2782
2018.1.15,21.978
2018.1.16,22.0597
2018.1.17,20.8795
2018.1.18,20.6655
2018.1.19,19.3936
2018.1.20,21.0231
2018.1.21,24.602
2018.1.22,22.0886
2018.1.23,22.5423
2018.1.24,21.3183
2018.1.25,20.3991
2018.1.26,19.3675
2018.1.27,20.512
2018.1.28,23.5514
2018.1.29,22.1689
2018.1.30,21.1499
2018.1.31,20.512
2018.2.1,19.7616
2018.2.2,18.8126
2018.2.3,21.4718
2018.2.4,24.3907
2018.2.5,21.093
2018.2.6,20.2646
2018.2.7,19.651
2018.2.8,19.023
2018.2.9,17.7511
2018.2.10,19.7751
2018.2.11,22.224
2018.2.12,19.9535
2018.2.13,18.4035
2018.2.14,18.1295
2018.2.15,18.8049
2018.2.16,21.7251
2018.2.17,25.1343
2018.2.18,27.5552
2018.2.19,24.8828
2018.2.20,22.992
