period,index
2017.11.8,6.8901
2017.11.9,6.2865
2017.11.10,6.2639
2017.11.11,7.4423
2017.11.12,7.9764
2017.11.13,6.743
2017.11.14,6.384
2017.11.15,6.1587
2017.11.16,6.2418
2017.11.17,5.9465
2017.11.18,7.2464
2017.11.19,8.3038
2017.11.20,7.152
2017.11.21,6.9913
2017.11.22,7.0175
2017.11.23,6.7087
2017.11.24,6.0332
2017.11.25,6.9236
2017.11.26,7.7963
2017.11.27,6.8509
2017.11.28,6.8432
2017.11.29,6.4341
2017.11.30,7.0486
2017.12.1,6.7109
2017.12.2,7.7073
2017.12.3,8.953
2017.12.4,7.8179
2017.12.5,7.9245
2017.12.6,7.6748
2017.12.7,7.5462
2017.12.8,7.3434
2017.12.9,8.1182
2017.12.10,9.3074
2017.12.11,8.5354
2017.12.12,8.3336
2017.12.13,8.1516
2017.12.14,7.8189
2017.12.15,7.669
2017.12.16,8.0243
2017.12.17,9.1656
2017.12.18,9.0171
2017.12.19,8.0952
2017.12.20,7.9159
2017.12.21,9.4817
2017.12.22,8.6794
2017.12.23,8.4961
2017.12.24,8.3764
2017.12.25,8.4031
2017.12.26,6.64
2017.12.27,5.8797
2017.12.28,5.8499
2017.12.29,5.6576
2017.12.30,6.3556
2017.12.31,6.2233
2018.1.1,6.426
2018.1.2,6.4188
2018.1.3,6.3515
2018.1.4,6.2174
2018.1.5,6.0626
2018.1.6,6.4238
2018.1.7,7.4202
2018.1.8,7.0558
2018.1.9,6.9741
2018.1.10,6.6436
2018.1.11,6.5308
2018.1.12,6.356
2018.1.13,6.5759
2018.1.14,7.4906
2018.1.15,7.2179
2018.1.16,7.2563
2018.1.17,7.1881
2018.1.18,6.8355
2018.1.19,6.5001
2018.1.20,6.71
2018.1.21,7.8283
2018.1.22,7.4902
2018.1.23,7.7462
2018.1.24,7.3755
2018.1.25,7.0324
2018.1.26,6.7281
2018.1.27,6.7854
2018.1.28,7.9493
2018.1.29,7.1705
2018.1.30,6.9877
2018.1.31,6.4048
2018.2.1,6.7375
2018.2.2,6.277
2018.2.3,7.2915
2018.2.4,8.5358
2018.2.5,7.3457
2018.2.6,6.9655
2018.2.7,6.8278
2018.2.8,6.8549
2018.2.9,6.1998
2018.2.10,6.6748
2018.2.11,7.5511
2018.2.12,6.5177
2018.2.13,6.5678
2018.2.14,7.8726
2018.2.15,7.5096
2018.2.16,7.6089
2018.2.17,9.2447
2018.2.18,9.3273
2018.2.19,8.3435
2018.2.20,7.8333
2018.2.21,7.3227
2018.2.22,7.0509
2018.2.23,7.2179
2018.2.24,6.8712
2018.2.25,7.6933
2018.2.26,7.7218
2018.2.27,7.613
2018.2.28,7.1999
2018.3.1,7.0856
2018.3.2,5.9393
2018.3.3,6.6053
2018.3.4,7.9868
2018.3.5,5.6919
2018.3.6,5.6576
2018.3.7,5.933
2018.3.8,6.2093
2018.3.9,6.1768
2018.3.10,7.6116
2018.3.11,8.3602
2018.3.12,7.1177
2018.3.13,7.1926
2018.3.14,6.9245
2018.3.15,7.0075
2018.3.16,6.8382
2018.3.17,8.3038
2018.3.18,9.0456
2018.3.19,7.3191
2018.3.20,6.8143
2018.3.21,7.3313
2018.3.22,6.8062
2018.3.23,6.7931
2018.3.24,7.6911
2018.3.25,8.7412
2018.3.26,7.5042
2018.3.27,7.5015
2018.3.28,7.2062
2018.3.29,7.1078
2018.3.30,6.598
2018.3.31,7.4667
2018.4.1,8.3408
2018.4.2,6.8707
2018.4.3,7.0301
2018.4.4,7.5881
2018.4.5,7.4143
2018.4.6,6.8685
2018.4.7,7.841
2018.4.8,8.818
2018.4.9,7.6319
2018.4.10,7.1985
2018.4.11,7.492
2018.4.12,7.6035
2018.4.13,7.5267
2018.4.14,8.8997
2018.4.15,9.5688
2018.4.16,8.2523
2018.4.17,8.2387
2018.4.18,8.5656
2018.4.19,8.4952
2018.4.20,8.2378
2018.4.21,9.6876
2018.4.22,10.6686
2018.4.23,10.3914
2018.4.24,9.2641
2018.4.25,9.3828
2018.4.26,9.9273
2018.4.27,9.7476
2018.4.28,11.7441
2018.4.29,12.9681
2018.4.30,11.2741
2018.5.1,13.2751
2018.5.2,13.2146
2018.5.3,12.5694
2018.5.4,12.0768
2018.5.5,14.188
2018.5.6,15.1501
2018.5.7,14.5997
2018.5.8,13.2114
2018.5.9,13.858
2018.5.10,14.8047
2018.5.11,14.6341
2018.5.12,17.1475
2018.5.13,16.4283
2018.5.14,14.4923
2018.5.15,13.9243
2018.5.16,12.8945
2018.5.17,12.9717
2018.5.18,11.6068
2018.5.19,13.2579
2018.5.20,14.0277
