period,index
2017.11.8,16.1502
2017.11.9,14.2918
2017.11.10,12.6945
2017.11.11,12.187
2017.11.12,14.323
2017.11.13,16.1299
2017.11.14,15.0246
2017.11.15,14.1492
2017.11.16,14.5406
2017.11.17,12.4579
2017.11.18,11.4827
2017.11.19,13.7157
2017.11.20,14.8833
2017.11.21,15.249
2017.11.22,14.4842
2017.11.23,13.1658
2017.11.24,11.9432
2017.11.25,12.2276
2017.11.26,14.8214
2017.11.27,15.561
2017.11.28,15.2987
2017.11.29,15.0571
2017.11.30,14.3528
2017.12.1,12.6584
2017.12.2,12.2326
2017.12.3,14.6887
2017.12.4,16.1791
2017.12.5,16.7321
2017.12.6,16.5226
2017.12.7,14.2034
2017.12.8,12.052
2017.12.9,11.4407
2017.12.10,14.9826
2017.12.11,15.6382
2017.12.12,15.3104
2017.12.13,15.5817
2017.12.14,13.6182
2017.12.15,12.3541
2017.12.16,11.2312
2017.12.17,14.3167
2017.12.18,15.4526
2017.12.19,14.0232
2017.12.20,13.4119
2017.12.21,13.0764
2017.12.22,11.1685
2017.12.23,10.9183
2017.12.24,11.0168
2017.12.25,13.4047
2017.12.26,14.9926
2017.12.27,13.4986
2017.12.28,12.9387
2017.12.29,11.5093
2017.12.30,11.1138
2017.12.31,11.48
2018.1.1,13.8408
2018.1.2,15.3285
2018.1.3,17.1466
2018.1.4,15.1068
2018.1.5,13.2724
2018.1.6,13.4747
2018.1.7,16.2856
2018.1.8,17.0685
2018.1.9,15.5036
2018.1.10,15.4829
2018.1.11,14.5943
2018.1.12,13.1645
2018.1.13,12.4588
2018.1.14,14.1049
2018.1.15,15.6504
2018.1.16,16.0251
2018.1.17,14.9628
2018.1.18,14.937
2018.1.19,13.1839
2018.1.20,12.3586
2018.1.21,16.4454
2018.1.22,16.9741
2018.1.23,15.8116
2018.1.24,15.8924
2018.1.25,15.5547
2018.1.26,13.1302
2018.1.27,12.7044
2018.1.28,15.3361
2018.1.29,16.6599
2018.1.30,16.1136
2018.1.31,16.5055
2018.2.1,15.7578
2018.2.2,14.5257
2018.2.3,15.0788
2018.2.4,17.6776
2018.2.5,18.4311
2018.2.6,17.7363
2018.2.7,16.1768
2018.2.8,16.5953
2018.2.9,14.5704
2018.2.10,14.2043
2018.2.11,18.367
2018.2.12,16.7222
2018.2.13,14.095
2018.2.14,13.0733
2018.2.15,12.1197
2018.2.16,11.8091
2018.2.17,15.1253
2018.2.18,17.5096
2018.2.19,19.6957
2018.2.20,17.7638
2018.2.21,17.4044
2018.2.22,17.72
2018.2.23,15.1727
2018.2.24,13.8358
2018.2.25,16.4811
2018.2.26,18.3096
2018.2.27,18.358
2018.2.28,17.1087
2018.3.1,17.7132
2018.3.2,16.3944
2018.3.3,15.5836
2018.3.4,19.1377
2018.3.5,17.8541
2018.3.6,16.9231
2018.3.7,16.9845
2018.3.8,17.5227
2018.3.9,15.4869
2018.3.10,15.2905
2018.3.11,19.195
2018.3.12,19.8434
2018.3.13,18.5196
2018.3.14,17.6685
2018.3.15,18.9038
2018.3.16,16.3037
2018.3.17,16.6865
2018.3.18,19.2307
2018.3.19,19.7088
2018.3.20,17.9954
2018.3.21,18.3078
2018.3.22,17.3687
2018.3.23,16.1348
2018.3.24,15.0725
2018.3.25,17.7304
2018.3.26,19.2438
2018.3.27,17.8202
2018.3.28,16.6482
2018.3.29,16.4418
2018.3.30,15.3398
2018.3.31,14.8223
2018.4.1,18.1011
2018.4.2,17.8649
2018.4.3,16.8418
2018.4.4,17.5611
2018.4.5,16.6319
2018.4.6,14.5474
2018.4.7,13.3844
2018.4.8,15.51
2018.4.9,17.3511
2018.4.10,17.1037
2018.4.11,16.7281
2018.4.12,16.3488
2018.4.13,15.0747
2018.4.14,15.1587
2018.4.15,16.4093
2018.4.16,18.0604
2018.4.17,17.2748
2018.4.18,16.738
2018.4.19,15.3384
2018.4.20,13.974
2018.4.21,13.574
2018.4.22,17.0306
2018.4.23,17.9764
2018.4.24,16.0599
2018.4.25,15.7484
2018.4.26,14.5966
2018.4.27,12.8724
2018.4.28,12.4945
2018.4.29,15.3248
2018.4.30,16.1764
2018.5.1,16.2369
2018.5.2,16.5114
2018.5.3,14.7799
2018.5.4,13.5713
2018.5.5,13.071
2018.5.6,16.2057
2018.5.7,17.7308
2018.5.8,18.0875
2018.5.9,17.4432
2018.5.10,16.5687
2018.5.11,15.3149
2018.5.12,15.2269
2018.5.13,16.6473
2018.5.14,18.5747
2018.5.15,17.7372
2018.5.16,17.9083
2018.5.17,17.4536
2018.5.18,16.259
2018.5.19,15.2779
2018.5.20,17.6676
2018.5.21,18.25
2018.5.22,19.042
2018.5.23,19.3431
2018.5.24,17.6306
2018.5.25,15.1307
2018.5.26,14.6734
2018.5.27,16.1908
2018.5.28,18.4203
2018.5.29,18.0555
2018.5.30,17.1371
2018.5.31,16.3533
2018.6.1,14.7871
2018.6.2,13.6882
2018.6.3,17.6888
2018.6.4,18.6808
2018.6.5,16.166
2018.6.6,15.9059
2018.6.7,16.0508
2018.6.8,13.8702
2018.6.9,13.1266
2018.6.10,16.1678
2018.6.11,16.8789
2018.6.12,14.8287
2018.6.13,14.9054
2018.6.14,16.2414
2018.6.15,14.1862
2018.6.16,12.3121
2018.6.17,15.3745
2018.6.18,15.4621
2018.6.19,16.4874
2018.6.20,16.0739
2018.6.21,15.9705
2018.6.22,14.044
2018.6.23,12.9947
2018.6.24,14.3108
2018.6.25,18.1001
2018.6.26,17.4441
2018.6.27,16.3199
2018.6.28,14.6323
2018.6.29,14.8941
2018.6.30,13.6372
2018.7.1,17.5864
2018.7.2,17.408
2018.7.3,17.4771
2018.7.4,16.8744
2018.7.5,16.5994
2018.7.6,14.5194
2018.7.7,13.3085
2018.7.8,17.152
2018.7.9,18.9304
2018.7.10,18.1471
2018.7.11,18.1092
2018.7.12,17.664
2018.7.13,15.5718
2018.7.14,14.7072
2018.7.15,17.9932
2018.7.16,19.7522
2018.7.17,19.3774
2018.7.18,19.428
2018.7.19,19.0293
2018.7.20,16.3285
2018.7.21,14.8792
2018.7.22,18.1327
2018.7.23,21.0335
2018.7.24,20.3522
2018.7.25,18.9968
2018.7.26,18.6
2018.7.27,17.7173
2018.7.28,15.0905
2018.7.29,17.2811
2018.7.30,20.2249
2018.7.31,19.9174
2018.8.1,19.451
2018.8.2,19.1462
2018.8.3,17.2473
2018.8.4,16.4324
2018.8.5,19.1702
2018.8.6,21.6425
2018.8.7,21.2863
2018.8.8,21.1861
2018.8.9,20.4917
2018.8.10,18.3209
2018.8.11,17.2897
2018.8.12,19.6054
2018.8.13,20.8402
2018.8.14,19.5643
2018.8.15,20.2849
2018.8.16,22.3365
2018.8.17,18.8113
2018.8.18,17.3895
2018.8.19,19.6293
2018.8.20,22.681
2018.8.21,22.5875
2018.8.22,22.6638
2018.8.23,22.1577
2018.8.24,19.8447
2018.8.25,17.9001
2018.8.26,22.3699
2018.8.27,22.8223
2018.8.28,21.9938
2018.8.29,20.4601
2018.8.30,20.5508
2018.8.31,17.8383
2018.9.1,15.7285
2018.9.2,19.7273
2018.9.3,22.3261
2018.9.4,21.2895
2018.9.5,21.4642
2018.9.6,20.0429
2018.9.7,18.3322
2018.9.8,16.9326
2018.9.9,20.3481
2018.9.10,21.847
2018.9.11,21.9414
2018.9.12,22.0367
2018.9.13,20.9897
2018.9.14,19.4077
2018.9.15,17.8992
2018.9.16,23.5279
