period,index
2017.11.8,5.1515
2017.11.9,4.57
2017.11.10,3.9194
2017.11.11,4.0774
2017.11.12,4.7329
2017.11.13,5.1298
2017.11.14,4.7835
2017.11.15,4.5397
2017.11.16,4.6765
2017.11.17,4.4923
2017.11.18,3.7857
2017.11.19,5.0061
2017.11.20,6.0337
2017.11.21,5.8007
2017.11.22,4.8291
2017.11.23,4.6788
2017.11.24,4.4485
2017.11.25,4.6368
2017.11.26,5.1339
2017.11.27,5.6472
2017.11.28,5.3695
2017.11.29,5.128
2017.11.30,4.765
2017.12.1,4.221
2017.12.2,3.5424
2017.12.3,4.5465
2017.12.4,5.2038
2017.12.5,5.3361
2017.12.6,4.9293
2017.12.7,4.453
2017.12.8,4.3912
2017.12.9,4.2313
2017.12.10,4.3961
2017.12.11,5.2224
2017.12.12,4.8747
2017.12.13,4.5402
2017.12.14,4.6512
2017.12.15,3.7121
2017.12.16,3.5546
2017.12.17,4.0751
2017.12.18,5.4011
2017.12.19,4.8291
2017.12.20,4.5569
2017.12.21,4.1474
2017.12.22,3.6566
2017.12.23,3.6747
2017.12.24,3.4561
2017.12.25,4.5072
2017.12.26,4.9776
2017.12.27,4.9704
2017.12.28,4.5402
2017.12.29,3.4945
2017.12.30,3.657
2017.12.31,3.6972
2018.1.1,4.3469
2018.1.2,4.9266
2018.1.3,5.2671
2018.1.4,4.825
2018.1.5,3.7532
2018.1.6,3.9144
2018.1.7,4.4476
2018.1.8,4.8535
2018.1.9,4.9894
2018.1.10,4.7018
2018.1.11,4.4426
2018.1.12,4.0945
2018.1.13,3.6878
2018.1.14,4.5564
2018.1.15,5.5641
2018.1.16,5.2707
2018.1.17,4.7239
2018.1.18,4.7767
2018.1.19,3.9997
2018.1.20,4.1523
2018.1.21,4.7338
2018.1.22,5.1668
2018.1.23,5.0043
2018.1.24,4.7704
2018.1.25,4.8241
2018.1.26,4.3438
2018.1.27,4.6855
2018.1.28,4.6115
2018.1.29,5.4278
2018.1.30,5.0395
2018.1.31,4.8544
2018.2.1,5.2747
2018.2.2,5.0327
2018.2.3,4.6196
2018.2.4,5.1885
2018.2.5,5.9948
2018.2.6,5.7253
2018.2.7,5.7632
2018.2.8,5.1253
2018.2.9,4.1577
2018.2.10,4.0756
2018.2.11,4.6517
2018.2.12,4.6788
2018.2.13,4.5903
2018.2.14,3.4263
2018.2.15,2.9672
2018.2.16,3.4299
2018.2.17,4.4426
2018.2.18,4.9998
2018.2.19,6.1863
2018.2.20,5.751
2018.2.21,5.0756
2018.2.22,5.5574
2018.2.23,4.5379
2018.2.24,4.3429
2018.2.25,4.523
2018.2.26,5.7529
2018.2.27,5.0806
2018.2.28,4.509
2018.3.1,5.1569
2018.3.2,5.03
2018.3.3,4.4756
2018.3.4,5.4842
2018.3.5,5.3754
2018.3.6,4.7718
2018.3.7,4.9131
2018.3.8,4.9072
2018.3.9,4.03
2018.3.10,3.9437
2018.3.11,4.4846
2018.3.12,5.0801
2018.3.13,5.0196
2018.3.14,4.7262
2018.3.15,4.6851
2018.3.16,4.2052
2018.3.17,4.1884
2018.3.18,4.6079
2018.3.19,5.1578
2018.3.20,4.8029
2018.3.21,4.6733
2018.3.22,4.6296
2018.3.23,4.3085
2018.3.24,4.1103
2018.3.25,4.7018
2018.3.26,5.4616
2018.3.27,4.9497
2018.3.28,4.825
2018.3.29,4.4381
2018.3.30,3.9185
2018.3.31,3.7455
2018.4.1,4.1555
2018.4.2,4.9745
2018.4.3,4.7925
2018.4.4,4.8408
2018.4.5,5.0269
2018.4.6,4.2828
2018.4.7,4.3067
2018.4.8,4.2038
2018.4.9,4.8133
2018.4.10,4.6959
2018.4.11,4.933
2018.4.12,4.4679
2018.4.13,4.0237
2018.4.14,4.1415
2018.4.15,4.369
2018.4.16,4.9172
2018.4.17,4.8693
2018.4.18,4.9831
2018.4.19,4.7524
2018.4.20,4.4657
2018.4.21,4.0074
2018.4.22,4.5063
2018.4.23,5.4111
2018.4.24,5.1433
2018.4.25,4.8883
2018.4.26,5.0043
2018.4.27,4.542
2018.4.28,3.7609
2018.4.29,4.2182
2018.4.30,5.0205
2018.5.1,5.6991
2018.5.2,5.7506
2018.5.3,5.0792
2018.5.4,4.4462
2018.5.5,3.9469
2018.5.6,4.6119
2018.5.7,5.0603
2018.5.8,5.43
2018.5.9,4.4914
2018.5.10,4.7627
2018.5.11,4.3695
2018.5.12,4.0977
2018.5.13,4.2024
2018.5.14,5.1384
2018.5.15,4.7334
2018.5.16,4.7451
2018.5.17,4.9587
2018.5.18,4.4733
2018.5.19,4.1758
2018.5.20,4.5867
2018.5.21,5.049
2018.5.22,4.96
2018.5.23,5.2743
2018.5.24,4.6381
2018.5.25,3.9487
2018.5.26,3.778
2018.5.27,4.3415
2018.5.28,4.9993
2018.5.29,4.9451
2018.5.30,4.3519
2018.5.31,4.0778
2018.6.1,3.8873
2018.6.2,3.8629
2018.6.3,4.3442
2018.6.4,4.8287
2018.6.5,4.4088
2018.6.6,4.5848
2018.6.7,4.5587
2018.6.8,3.9803
2018.6.9,3.7681
2018.6.10,4.179
2018.6.11,4.8386
2018.6.12,4.3392
2018.6.13,3.8634
2018.6.14,4.4074
2018.6.15,4.2178
2018.6.16,4.034
2018.6.17,4.2684
2018.6.18,4.6923
2018.6.19,4.8129
2018.6.20,4.4801
2018.6.21,4.0697
2018.6.22,4.0846
2018.6.23,3.6232
2018.6.24,3.9803
2018.6.25,4.6512
2018.6.26,4.3207
2018.6.27,4.1139
2018.6.28,3.9198
2018.6.29,3.7523
2018.6.30,3.8981
2018.7.1,4.4097
2018.7.2,4.9108
2018.7.3,4.5975
2018.7.4,4.3117
2018.7.5,4.8756
2018.7.6,4.6747
2018.7.7,4.1257
2018.7.8,4.3302
2018.7.9,4.9244
2018.7.10,4.472
2018.7.11,5.3826
2018.7.12,4.9691
2018.7.13,4.5858
2018.7.14,4.365
2018.7.15,4.8269
2018.7.16,5.6124
2018.7.17,5.2797
2018.7.18,5.2029
2018.7.19,5.4039
2018.7.20,4.974
2018.7.21,4.9203
2018.7.22,5.1068
2018.7.23,5.9167
2018.7.24,5.9167
2018.7.25,5.2657
2018.7.26,5.2214
2018.7.27,4.9316
2018.7.28,4.8002
2018.7.29,5.1402
2018.7.30,5.5966
2018.7.31,5.6192
2018.8.1,5.421
2018.8.2,5.281
2018.8.3,5.1917
2018.8.4,4.8174
2018.8.5,4.8941
2018.8.6,5.9687
2018.8.7,5.9109
2018.8.8,5.4291
2018.8.9,5.319
2018.8.10,4.4345
2018.8.11,4.025
2018.8.12,4.3907
2018.8.13,5.1781
2018.8.14,5.0851
2018.8.15,4.5081
2018.8.16,5.2363
2018.8.17,4.7022
2018.8.18,3.9121
2018.8.19,4.4634
2018.8.20,5.0634
2018.8.21,4.9695
2018.8.22,4.686
2018.8.23,5.0314
2018.8.24,4.2778
2018.8.25,4.2291
2018.8.26,4.5514
2018.8.27,5.1212
2018.8.28,5.1596
2018.8.29,5.0345
2018.8.30,4.9022
2018.8.31,4.6905
2018.9.1,4.4629
2018.9.2,4.4625
2018.9.3,5.4973
2018.9.4,4.8449
2018.9.5,4.6147
2018.9.6,4.1505
2018.9.7,3.8765
2018.9.8,3.6805
2018.9.9,4.3713
2018.9.10,5.1528
2018.9.11,5.067
2018.9.12,5.1172
2018.9.13,4.6422
2018.9.14,4.5397
2018.9.15,4.4214
2018.9.16,4.7099
2018.9.17,5.3998
2018.9.18,5.221
2018.9.19,4.5325
2018.9.20,4.3677
2018.9.21,3.89
2018.9.22,3.2665
2018.9.23,3.3627
2018.9.24,3.5329
2018.9.25,4.6833
2018.9.26,5.505
2018.9.27,6.1818
2018.9.28,5.4598
2018.9.29,5.184
2018.9.30,5.0165
2018.10.1,6.0043
2018.10.2,5.4052
2018.10.3,5.1483
2018.10.4,5.5122
2018.10.5,4.9736
2018.10.6,4.6584
2018.10.7,4.9415
2018.10.8,5.2765
2018.10.9,5.142
2018.10.10,5.8039
2018.10.11,5.5321
2018.10.12,5.3054
2018.10.13,4.1957
2018.10.14,4.8855
2018.10.15,6.3782
2018.10.16,5.831
2018.10.17,5.533
